,Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Code Description
855,2020-08-25,16:21,Tuesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
856,2020-08-25,16:35,Tuesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,6026,No Operator Immediately Available - Not E.S.A. Related 
857,2020-08-25,16:42,Tuesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
858,2020-08-25,17:14,Tuesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
859,2020-08-25,17:36,Tuesday,YONGE BD STATION,SUAP,0,0,N/A,BD,0,Assault / Patron Involved
860,2020-08-25,17:57,Tuesday,DUNDAS STATION,SUDP,0,0,N/A,YU,0,Disorderly Patron
861,2020-08-25,18:06,Tuesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
862,2020-08-25,18:17,Tuesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
863,2020-08-25,18:41,Tuesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
864,2020-08-25,18:42,Tuesday,LESLIE STATION,MUPAA,0,0,E,SHP,6186,Passenger Assistance Alarm Activated - No Trouble Found
865,2020-08-25,20:48,Tuesday,COXWELL STATION,MUSAN,6,12,W,BD,5099,Unsanitary Vehicle
866,2020-08-25,22:00,Tuesday,YONGE-UNIVERSITY AND B,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other
867,2020-08-25,22:31,Tuesday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
868,2020-08-25,22:43,Tuesday,LAWRENCE WEST STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported
869,2020-08-25,23:00,Tuesday,SHEPPARD WEST TO FINCH,MUO,0,0,N/A,YU,0,Miscellaneous Other
870,2020-08-25,23:01,Tuesday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
871,2020-08-25,23:14,Tuesday,CHESTER STATION,MUIRS,0,0,E,BD,5016,Injured or ill Customer (In Station) - Medical Aid Refused
872,2020-08-26,00:39,Wednesday,SHEPPARD WEST STATION,MUO,0,0,N/A,YU,0,Miscellaneous Other
873,2020-08-26,01:22,Wednesday,KENNEDY BD STATION,PUCSC,3,9,W,BD,5283,Signal Control Problem - Signals
874,2020-08-26,05:45,Wednesday,SCARBOROUGH RAPID TRAN,MRWEA,0,0,N/A,SRT,0,Weather Reports / Related Delays
875,2020-08-26,05:59,Wednesday,KIPLING STATION,TUO,3,8,E,BD,5016,Transportation Department - Other
876,2020-08-26,06:02,Wednesday,MCCOWAN STATION,ERTR,5,10,S,SRT,0,Trucks
877,2020-08-26,06:07,Wednesday,MCCOWAN STATION,ERTR,5,10,S,SRT,0,Trucks
878,2020-08-26,06:23,Wednesday,FINCH WEST STATION,EUTRD,3,6,S,YU,5806,TR Cab Doors
879,2020-08-26,07:12,Wednesday,FINCH STATION,MUPAA,0,0,S,YU,6061,Passenger Assistance Alarm Activated - No Trouble Found
880,2020-08-26,09:53,Wednesday,WOODBINE STATION,TUOS,0,0,E,BD,5174,Operator Overshot Platform
881,2020-08-26,10:20,Wednesday,VAUGHAN MC STATION,TUNIP,3,6,S,YU,5971,Operator Not In Position
882,2020-08-26,10:34,Wednesday,ROYAL YORK STATION,TUS,6,9,E,BD,5286,Crew Unable to Maintain Schedule
883,2020-08-26,10:36,Wednesday,DAVISVILLE STATION,MUPLB,12,15,N,YU,5861,Fire/Smoke Plan B - Source TTC
884,2020-08-26,10:51,Wednesday,JANE STATION,MUIR,3,6,E,BD,5255,Injured or ill Customer (On Train) - Medical Aid Refused
885,2020-08-26,11:12,Wednesday,DAVISVILLE STATION,TUMVS,5,8,N,YU,5781,Operator Violated Signal
886,2020-08-26,12:23,Wednesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
887,2020-08-26,12:30,Wednesday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
888,2020-08-26,12:54,Wednesday,WILSON STATION,SUCOL,0,0,N,YU,5461,Collector Booth Alarm Activated
889,2020-08-26,14:04,Wednesday,DUNDAS STATION,SUAE,0,0,N/A,YU,0,Assault / Employee Involved
890,2020-08-26,14:51,Wednesday,BATHURST STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
891,2020-08-26,15:05,Wednesday,MCCOWAN STATION,ERTR,5,10,S,SRT,0,Trucks
892,2020-08-26,15:53,Wednesday,WILSON STATION,MUIR,6,9,N,YU,5876,Injured or ill Customer (On Train) - Medical Aid Refused
893,2020-08-26,16:05,Wednesday,VICTORIA PARK STATION,SUDP,0,0,N/A,BD,0,Disorderly Patron
894,2020-08-26,16:10,Wednesday,LAWRENCE STATION,EUSC,0,0,N,YU,5621,Speed Control Equipment  
895,2020-08-26,16:27,Wednesday,LAWRENCE EAST STATION,MRUIR,0,0,N,SRT,3001,Injured or ill Customer (On Train) - Medical Aid Refused
896,2020-08-26,17:26,Wednesday,EGLINTON STATION,MUIRS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
897,2020-08-26,17:29,Wednesday,PAPE STATION,SUAE,18,21,E,BD,5020,Assault / Employee Involved
898,2020-08-26,17:38,Wednesday,LAWRENCE STATION,MUPAA,0,0,N,YU,5666,Passenger Assistance Alarm Activated - No Trouble Found
899,2020-08-26,17:47,Wednesday,KENNEDY SRT STATION,SRUT,15,22,N,SRT,3001,Unauthorized at Track Level
900,2020-08-26,17:54,Wednesday,KIPLING STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
901,2020-08-26,17:59,Wednesday,PAPE STATION,MUO,4,7,E,BD,5064,Miscellaneous Other
902,2020-08-26,17:59,Wednesday,ST CLAIR STATION,MUIRS,0,0,N,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
903,2020-08-26,18:02,Wednesday,COXWELL STATION,TUO,0,0,E,BD,5142,Transportation Department - Other
904,2020-08-26,22:00,Wednesday,YONGE-UNIVERSITY AND B,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other
905,2020-08-26,23:07,Wednesday,ROYAL YORK STATION,SUUT,0,0,E,BD,5169,Unauthorized at Track Level
906,2020-08-26,23:34,Wednesday,YORK MILLS STATION,MUPAA,0,0,N,YU,5731,Passenger Assistance Alarm Activated - No Trouble Found
907,2020-08-26,23:44,Wednesday,NORTH YORK CTR STATION,EUSC,0,0,N,YU,5731,Speed Control Equipment  
908,2020-08-27,01:22,Thursday,KENNEDY BD STATION,SUDP,0,0,W,BD,5113,Disorderly Patron
909,2020-08-27,05:49,Thursday,WILSON STATION,TUNIP,3,0,S,YU,5446,Operator Not In Position
910,2020-08-27,05:51,Thursday,EGLINTON STATION,MUO,4,0,S,YU,6001,Miscellaneous Other
911,2020-08-27,06:02,Thursday,MCCOWAN STATION,ERTR,5,10,B,SRT,0,Trucks
912,2020-08-27,06:07,Thursday,MCCOWAN STATION,ERTR,5,10,B,SRT,0,Trucks
913,2020-08-27,06:13,Thursday,EGLINTON STATION,MUSC,0,0,S,YU,5456,Miscellaneous Speed Control
914,2020-08-27,06:14,Thursday,VAUGHAN MC STATION,EUME,6,11,S,YU,5836,RC&S Maintenance Error - (Human)
915,2020-08-27,06:49,Thursday,EGLINTON STATION,MUATC,4,8,N,YU,5661,ATC Project
916,2020-08-27,07:51,Thursday,VAUGHAN MC STATION,MUTO,3,6,S,YU,5766,Misc. Transportation Other - Employee Non-Chargeable
917,2020-08-27,08:05,Thursday,SHEPPARD STATION,EUSC,0,0,N,YU,5731,Speed Control Equipment  
918,2020-08-27,08:45,Thursday,QUEEN'S PARK STATION,MUPAA,0,0,S,YU,5476,Passenger Assistance Alarm Activated - No Trouble Found
919,2020-08-27,09:16,Thursday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
920,2020-08-27,11:08,Thursday,ST GEORGE BD STATION,TUMVS,0,0,E,BD,5082,Operator Violated Signal
921,2020-08-27,11:19,Thursday,BAY STATION,MUPLB,7,10,W,BD,5026,Fire/Smoke Plan B - Source TTC
922,2020-08-27,11:37,Thursday,FINCH STATION,TUMVS,3,6,N,YU,5741,Operator Violated Signal
923,2020-08-27,12:09,Thursday,COXWELL STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
924,2020-08-27,12:22,Thursday,MCCOWAN STATION,ERPR,5,10,N,SRT,3011,Propulsion System
925,2020-08-27,13:00,Thursday,SPADINA BD STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
926,2020-08-27,13:00,Thursday,ST CLAIR WEST STATION,SUDP,0,0,N,YU,5636,Disorderly Patron
927,2020-08-27,13:01,Thursday,YORK MILLS STATION,SUEAS,17,24,N,YU,5551,Emergency Alarm Station Activation
928,2020-08-27,13:24,Thursday,LAWRENCE STATION,MUPAA,0,0,S,YU,5581,Passenger Assistance Alarm Activated - No Trouble Found
929,2020-08-27,15:05,Thursday,MCCOWAN STATION,ERTR,5,10,S,SRT,0,Trucks
930,2020-08-27,15:23,Thursday,VAUGHAN MC STATION,MUTO,3,6,S,YU,5456,Misc. Transportation Other - Employee Non-Chargeable
931,2020-08-27,15:33,Thursday,KIPLING STATION,TUNIP,4,7,E,BD,5151,Operator Not In Position
932,2020-08-27,16:15,Thursday,CHRISTIE STATION,SUDP,3,6,E,BD,5082,Disorderly Patron
933,2020-08-27,16:25,Thursday,KENNEDY BD STATION,MUTO,3,6,W,BD,5066,Misc. Transportation Other - Employee Non-Chargeable
934,2020-08-27,16:30,Thursday,ST CLAIR WEST STATION,MUIE,0,0,N/A,YU,0,Injured Employee
935,2020-08-27,16:46,Thursday,LAWRENCE WEST STATION,PUMEL,0,0,N/A,YU,0,Escalator/Elevator Incident
936,2020-08-27,17:14,Thursday,OSSINGTON STATION,MUPAA,0,0,E,BD,5095,Passenger Assistance Alarm Activated - No Trouble Found
937,2020-08-27,17:23,Thursday,KIPLING STATION,MUTO,3,6,E,BD,5066,Misc. Transportation Other - Employee Non-Chargeable
938,2020-08-27,18:00,Thursday,WOODBINE STATION,SUDP,6,9,W,BD,5026,Disorderly Patron
939,2020-08-27,18:04,Thursday,LAWRENCE EAST STATION,MRD,19,24,S,SRT,3026,Door Problems - Passenger Related
940,2020-08-27,18:20,Thursday,FINCH WEST STATION,SUO,0,0,N/A,YU,0,Passenger Other
941,2020-08-27,18:31,Thursday,DUPONT STATION,SUDP,0,0,N,YU,6051,Disorderly Patron
942,2020-08-27,19:44,Thursday,DUNDAS STATION,SUUT,0,0,N,YU,0,Unauthorized at Track Level
943,2020-08-27,19:55,Thursday,LAWRENCE STATION,EUSC,0,0,N,YU,5446,Speed Control Equipment  
944,2020-08-27,20:19,Thursday,YORK UNIVERSITY STATIO,SUDP,4,7,S,YU,5801,Disorderly Patron
945,2020-08-27,21:10,Thursday,CHRISTIE STATION,MUIRS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused
946,2020-08-27,21:57,Thursday,EGLINTON STATION,MUPAA,0,0,S,YU,6001,Passenger Assistance Alarm Activated - No Trouble Found
947,2020-08-27,22:00,Thursday,YONGE-UNIVERSITY AND B,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other
948,2020-08-27,22:30,Thursday,KIPLING STATION,SUO,0,0,N/A,BD,0,Passenger Other
949,2020-08-27,23:00,Thursday,FINCH WEST - SHEPPARD,MUO,0,0,N/A,YU,0,Miscellaneous Other
950,2020-08-27,23:23,Thursday,COLLEGE STATION,MUPAA,0,0,N,YU,5576,Passenger Assistance Alarm Activated - No Trouble Found
951,2020-08-28,00:49,Friday,YONGE BD STATION,SUDP,0,0,W,BD,5230,Disorderly Patron
952,2020-08-28,01:11,Friday,KENNEDY BD STATION,PUCSC,4,10,W,BD,5050,Signal Control Problem - Signals
953,2020-08-28,01:14,Friday,YONGE BD STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
954,2020-08-28,02:35,Friday,SHEPPARD-YONGE STATION,TUCC,0,0,W,SHP,6151,Transit Control Related Problems
955,2020-08-28,05:50,Friday,DONLANDS STATION,MUSC,0,0,W,BD,5282,Miscellaneous Speed Control
956,2020-08-28,06:04,Friday,MCCOWAN STATION,ERTR,5,10,S,SRT,0,Trucks
957,2020-08-28,06:26,Friday,FINCH STATION,MUTO,0,0,S,YU,5876,Misc. Transportation Other - Employee Non-Chargeable
958,2020-08-28,09:05,Friday,FINCH STATION,MUTO,0,0,S,YU,5871,Misc. Transportation Other - Employee Non-Chargeable
959,2020-08-28,09:23,Friday,BROADVIEW STATION,EUNT,6,9,E,BD,5154,Equipment - No Trouble Found
960,2020-08-28,09:33,Friday,ISLINGTON STATION,MUPAA,0,0,E,BD,5121,Passenger Assistance Alarm Activated - No Trouble Found
961,2020-08-28,11:26,Friday,EGLINTON STATION,SUAP,0,0,N,YU,0,Assault / Patron Involved
962,2020-08-28,11:46,Friday,FINCH STATION,EUBK,4,8,S,YU,5646,Brakes
963,2020-08-28,11:55,Friday,KENNEDY BD STATION,PUSCR,3,6,W,BD,5222,Subway Car Radio Fault 
964,2020-08-28,12:27,Friday,VAUGHAN MC STATION,TUNIP,3,6,S,YU,5581,Operator Not In Position
965,2020-08-28,12:31,Friday,SCARBOROUGH RAPID TRAN,MRWEA,0,0,N/A,SRT,0,Weather Reports / Related Delays
966,2020-08-28,12:34,Friday,CHRISTIE STATION,SUDP,0,0,N/A,BD,0,Disorderly Patron
967,2020-08-28,12:34,Friday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
968,2020-08-28,13:04,Friday,ISLINGTON STATION,EUDO,5,8,E,BD,5194,Door Problems - Faulty Equipment
969,2020-08-28,13:44,Friday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
970,2020-08-28,13:46,Friday,QUEEN STATION,MUATC,3,6,N,YU,5531,ATC Project
971,2020-08-28,14:05,Friday,PIONEER VILLAGE STATIO,SUDP,5,8,S,YU,6056,Disorderly Patron
972,2020-08-28,14:23,Friday,BROADVIEW STATION,SUDP,0,0,N/A,BD,0,Disorderly Patron
973,2020-08-28,14:28,Friday,YORK MILLS STATION,TUSC,0,0,S,YU,5876,Operator Overspeeding
974,2020-08-28,15:05,Friday,MCCOWAN STATION,ERTR,5,10,S,SRT,0,Trucks
975,2020-08-28,15:18,Friday,DUFFERIN STATION,SUDP,4,7,W,BD,5265,Disorderly Patron
976,2020-08-28,16:58,Friday,LAWRENCE WEST STATION,MUPAA,0,0,S,YU,5786,Passenger Assistance Alarm Activated - No Trouble Found
977,2020-08-28,17:46,Friday,BROADVIEW STATION,SUO,0,0,W,BD,0,Passenger Other
978,2020-08-28,17:47,Friday,KENNEDY BD STATION,MUNOA,3,6,E,BD,0,No Operator Immediately Available - Not E.S.A. Related 
979,2020-08-28,17:58,Friday,UNION STATION,MUO,0,0,N,YU,5516,Miscellaneous Other
980,2020-08-28,18:02,Friday,RUNNYMEDE STATION,PUMEL,0,0,E,BD,0,Escalator/Elevator Incident
981,2020-08-28,19:41,Friday,ST PATRICK STATION,SUDP,13,16,N,YU,5581,Disorderly Patron
982,2020-08-28,20:01,Friday,VAUGHAN MC STATION,TUATC,3,6,S,YU,5671,ATC Operator Related
983,2020-08-28,20:53,Friday,ROSEDALE STATION,SUO,7,10,S,YU,5991,Passenger Other
984,2020-08-28,21:30,Friday,ST GEORGE YUS STATION,MUIS,0,0,S,YU,0,Injured or ill Customer (In Station) - Transported
985,2020-08-28,22:00,Friday,YONGE-UNIVERSITY AND B,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other
986,2020-08-28,23:21,Friday,FINCH STATION,MUNOA,5,10,S,YU,5961,No Operator Immediately Available - Not E.S.A. Related 
987,2020-08-28,23:52,Friday,EGLINTON STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported
988,2020-08-29,00:01,Saturday,ST ANDREW STATION,MUNCA,0,0,N/A,YU,0,
989,2020-08-29,05:27,Saturday,NORTH HOSTLER,EUATC,0,0,N,YU,5801,ATC RC&S Equipment
990,2020-08-29,05:51,Saturday,WILSON STATION,TUATC,0,0,S,YU,6041,ATC Operator Related
991,2020-08-29,06:09,Saturday,KENNEDY SRT STATION,TRO,0,0,N,SRT,3015,Transportation Department - Other
992,2020-08-29,08:37,Saturday,ST GEORGE BD STATION,MUPAA,0,0,W,BD,5271,Passenger Assistance Alarm Activated - No Trouble Found
993,2020-08-29,09:00,Saturday,COXWELL STATION,TUNIP,4,9,E,BD,5274,Operator Not In Position
994,2020-08-29,10:22,Saturday,VICTORIA PARK STATION,SUAE,0,0,W,BD,5255,Assault / Employee Involved
995,2020-08-29,10:50,Saturday,CHRISTIE STATION,MUNCA,0,0,N/A,BD,0,
996,2020-08-29,11:09,Saturday,OSSINGTON STATION,SUO,35,39,W,BD,5202,Passenger Other
997,2020-08-29,11:14,Saturday,ISLINGTON STATION,TUMVS,7,12,E,BD,5218,Operator Violated Signal
998,2020-08-29,11:32,Saturday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
999,2020-08-29,12:28,Saturday,ST CLAIR STATION,SUPOL,9,12,S,YU,5756,Held By Polce - Non-TTC Related
1000,2020-08-29,12:41,Saturday,WILSON STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
1001,2020-08-29,12:49,Saturday,COXWELL STATION,MUPAA,0,0,E,BD,5276,Passenger Assistance Alarm Activated - No Trouble Found
1002,2020-08-29,13:15,Saturday,ST CLAIR WEST STATION,MUPAA,0,0,S,YU,5646,Passenger Assistance Alarm Activated - No Trouble Found
1003,2020-08-29,13:20,Saturday,KIPLING STATION,PUTD,90,94,W,BD,5082,Track Level Debris - Controllable
1004,2020-08-29,13:51,Saturday,KENNEDY BD STATION,MUNOA,4,8,W,BD,0,No Operator Immediately Available - Not E.S.A. Related 
1005,2020-08-29,15:38,Saturday,SHEPPARD STATION,SUAP,0,0,N/A,YU,0,Assault / Patron Involved
1006,2020-08-29,15:42,Saturday,KIPLING STATION,TUMVS,4,8,W,BD,5151,Operator Violated Signal
1007,2020-08-29,15:46,Saturday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0,No Operator Immediately Available 
1008,2020-08-29,16:45,Saturday,NORTH YORK CTR STATION,SUAE,0,0,S,YU,5686,Assault / Employee Involved
1009,2020-08-29,16:50,Saturday,COXWELL STATION,TUS,4,8,E,BD,5197,Crew Unable to Maintain Schedule
1010,2020-08-29,17:07,Saturday,VICTORIA PARK STATION,MUPAA,0,0,W,BD,5058,Passenger Assistance Alarm Activated - No Trouble Found
1011,2020-08-29,17:08,Saturday,KENNEDY BD STATION,SUUT,5,8,W,BD,5202,Unauthorized at Track Level
1012,2020-08-29,17:42,Saturday,ISLINGTON STATION,PUMEL,0,0,N/A,BD,0,Escalator/Elevator Incident
1013,2020-08-29,18:03,Saturday,UNION STATION,MUIS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Transported
1014,2020-08-29,18:31,Saturday,KENNEDY BD STATION,MUNOA,4,8,W,BD,0,No Operator Immediately Available - Not E.S.A. Related 
1015,2020-08-29,18:48,Saturday,PAPE STATION,PUMEL,0,0,N/A,BD,0,Escalator/Elevator Incident
1016,2020-08-29,20:15,Saturday,DOWNSVIEW PARK STATION,MUIS,0,0,S,YU,5901,Injured or ill Customer (In Station) - Transported
1017,2020-08-29,20:33,Saturday,FINCH STATION,MUIR,5,10,N,YU,5951,Injured or ill Customer (On Train) - Medical Aid Refused
1018,2020-08-29,20:48,Saturday,BLOOR AND ABERFOYLE CR,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
1019,2020-08-29,21:29,Saturday,DUPONT STATION,MUI,15,20,N,YU,6136,Injured or ill Customer (On Train) - Transported
1020,2020-08-29,21:33,Saturday,QUEEN STATION,MUNCA,0,0,S,YU,0,
1021,2020-08-29,21:55,Saturday,COXWELL STATION,SUDP,3,9,E,BD,5197,Disorderly Patron
1022,2020-08-29,22:00,Saturday,YONGE-UNIVERSITY AND B,MUO,0,0,N/A,YU/BD,0,Miscellaneous Other
1023,2020-08-29,22:07,Saturday,OSSINGTON STATION,SUDP,5,11,W,BD,5192,Disorderly Patron
1024,2020-08-29,22:12,Saturday,DUNDAS STATION,MUIS,6,11,N,YU,5651,Injured or ill Customer (In Station) - Transported
1025,2020-08-29,22:17,Saturday,YORKDALE STATION,SUO,5,10,S,YU,6056,Passenger Other
1026,2020-08-30,02:26,Sunday,SHEPPARD-YONGE STATION,TUMVS,0,0,W,SHP,6196,Operator Violated Signal
1027,2020-08-30,07:57,Sunday,FINCH STATION,TUSC,0,0,S,YU,5906,Operator Overspeeding
1028,2020-08-30,08:00,Sunday,YONGE UNIVERSITY LINE,MUO,0,0,B,YU,5000,Miscellaneous Other
1029,2020-08-30,08:21,Sunday,BLOOR STATION,MUSC,0,0,S,YU,5801,Miscellaneous Speed Control
1030,2020-08-30,08:22,Sunday,BROADVIEW STATION,PUSSW,0,0,W,BD,5064,Track Switch Failure - Signal Related Problem
1031,2020-08-30,08:34,Sunday,OSSINGTON STATION,PUSSW,4,8,W,BD,5064,Track Switch Failure - Signal Related Problem
1032,2020-08-30,08:35,Sunday,BROADVIEW STATION,PUSSW,0,0,W,BD,5044,Track Switch Failure - Signal Related Problem
1033,2020-08-30,09:12,Sunday,DUNDAS WEST STATION,PUMEL,0,0,N/A,BD,0,Escalator/Elevator Incident
1034,2020-08-30,09:52,Sunday,CHRISTIE STATION,EUCA,7,11,W,BD,5050,Compressed Air
1035,2020-08-30,09:56,Sunday,DAVISVILLE STATION,EUSC,4,8,S,YU,5881,Speed Control Equipment  
1036,2020-08-30,14:59,Sunday,QUEEN STATION,SUO,0,0,S,YU,5871,Passenger Other
1037,2020-08-30,17:31,Sunday,OSSINGTON STATION,MUNCA,0,0,N/A,BD,0,
1038,2020-08-30,19:12,Sunday,VICTORIA PARK STATION,MUPLB,18,23,E,BD,5192,Fire/Smoke Plan B - Source TTC
1039,2020-08-30,20:31,Sunday,FINCH WEST STATION,MUPAA,3,8,N,YU,5881,Passenger Assistance Alarm Activated - No Trouble Found
1040,2020-08-30,22:00,Sunday,YUS/BD,MUO,0,0,N/A,YUS/BD,0,Miscellaneous Other
1041,2020-08-30,23:04,Sunday,LAWRENCE STATION,PUEO,7,13,N,YU,5946,
1042,2020-08-31,00:39,Monday,VAUGHAN MC STATION,MUTO,5,10,S,YU,6006,Misc. Transportation Other - Employee Non-Chargeable
1043,2020-08-31,01:48,Monday,VAUGHAN MC STATION,MUIRS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
1044,2020-08-31,02:09,Monday,KIPLING STATION,TUMVS,0,0,W,BD,5262,Operator Violated Signal
1045,2020-08-31,05:05,Monday,BROADVIEW STATION,PUTR,0,0,W,BD,0,Rail Related Problem
1046,2020-08-31,05:36,Monday,FINCH STATION,TUSC,0,0,S,YU,5841,Operator Overspeeding
1047,2020-08-31,05:37,Monday,RUNNYMEDE STATION,MUNCA,0,0,N/A,BD,0,
1048,2020-08-31,06:07,Monday,MCCOWAN STATION,ERTR,5,10,S,SRT,0,Trucks
1049,2020-08-31,06:16,Monday,QUEEN STATION,TUSC,0,0,N,YU,5881,Operator Overspeeding
1050,2020-08-31,06:51,Monday,BLOOR VIADUCT,PUTTP,3,6,E,BD,5163,Traction Power Rail Related
1051,2020-08-31,07:02,Monday,ISLINGTON STATION,TUSC,3,6,W,BD,5265,Operator Overspeeding
1052,2020-08-31,07:45,Monday,FINCH STATION,TUO,3,6,S,YU,5871,Transportation Department - Other
1053,2020-08-31,08:12,Monday,ROYAL YORK STATION,EUTR,3,6,W,BD,5179,Trucks
1054,2020-08-31,09:50,Monday,BROADVIEW STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
1055,2020-08-31,09:54,Monday,ST CLAIR WEST STATION,MUPR1,7,10,N,YU,5406,Priority One - Train in Contact With Person
1056,2020-08-31,10:23,Monday,PAPE STATION,SUAP,0,0,N/A,BD,0,Assault / Patron Involved
1057,2020-08-31,10:28,Monday,ST CLAIR WEST STATION,MUIRS,0,0,N/A,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
1058,2020-08-31,10:38,Monday,FINCH STATION,MUPAA,3,6,S,YU,5836,Passenger Assistance Alarm Activated - No Trouble Found
1059,2020-08-31,11:03,Monday,BAY STATION,MUPAA,3,6,E,BD,5174,Passenger Assistance Alarm Activated - No Trouble Found
1060,2020-08-31,11:21,Monday,EGLINTON STATION,MUPAA,5,8,N,YU,5536,Passenger Assistance Alarm Activated - No Trouble Found
1061,2020-08-31,11:22,Monday,EGLINTON STATION,SUDP,0,0,N/A,YU,0,Disorderly Patron
1062,2020-08-31,11:35,Monday,EGLINTON STATION,MUPAA,0,0,S,YU,5921,Passenger Assistance Alarm Activated - No Trouble Found
1063,2020-08-31,12:04,Monday,DUFFERIN STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
1064,2020-08-31,12:16,Monday,VAUGHAN MC STATION,MUNOA,3,6,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
1065,2020-08-31,12:42,Monday,BROADVIEW STATION,MUIS,0,0,E,BD,5165,Injured or ill Customer (In Station) - Transported
1066,2020-08-31,13:11,Monday,BROADVIEW STATION,PUTR,3,6,W,BD,5279,Rail Related Problem
1067,2020-08-31,13:12,Monday,LAWRENCE STATION,MUSC,0,0,S,YU,5571,Miscellaneous Speed Control
1068,2020-08-31,13:19,Monday,WOODBINE STATION,MUDD,3,6,W,BD,5044,Door Problems - Debris Related
1069,2020-08-31,14:04,Monday,KING STATION,SUUT,0,0,N,YU,5761,Unauthorized at Track Level
1070,2020-08-31,14:08,Monday,WILSON STATION,MUNOA,3,6,N,YU,0,No Operator Immediately Available - Not E.S.A. Related 
1071,2020-08-31,14:16,Monday,VAUGHAN MC STATION,MUATC,5,8,S,YU,5806,ATC Project
1072,2020-08-31,15:05,Monday,MCCOWAN STATION,ERTR,5,10,N/A,SRT,0,Trucks
1073,2020-08-31,15:22,Monday,VAUGHAN MC STATION,MUNOA,3,6,N/A,YU,0,No Operator Immediately Available - Not E.S.A. Related 
1074,2020-08-31,16:08,Monday,EGLINTON STATION,SUDP,0,0,S,YU,6014,Disorderly Patron
1075,2020-08-31,16:29,Monday,QUEEN'S PARK STATION,PUMEL,0,0,N/A,YU,0,Escalator/Elevator Incident
1076,2020-08-31,16:42,Monday,NORTH YORK CTR STATION,SUUT,0,0,S,YU,5816,Unauthorized at Track Level
1077,2020-08-31,16:50,Monday,YONGE BD STATION,MUI,5,8,E,BD,5357,Injured or ill Customer (On Train) - Transported
1078,2020-08-31,18:16,Monday,COLLEGE STATION,MUNCA,0,0,N/A,YU,0,
1079,2020-08-31,18:37,Monday,YONGE BD STATION,SUDP,0,0,E,BD,5255,Disorderly Patron
1080,2020-08-31,19:42,Monday,YORK MILLS STATION [,TUSC,0,0,N,YU,5381,Operator Overspeeding
1081,2020-08-31,20:51,Monday,WOODBINE STATION,SUAP,0,0,E,BD,5281,Assault / Patron Involved
